city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Seoul,South Korea,7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.20,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.50,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,3.46,1.00,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,0.16,22.48,55.88,18.33,9.60,404.15,17902.55,58.26,46.36,70.81,110.36,742.54,557.52,2669.12,1731.08,22067.70,10971.90,2689.62,3.47,1.00
Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.60,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,3.56,0.57,28.47,2.14,0.43,8.54,1.20,19929.68,20750.95,66.00,0.03,17.07,63.49,14.95,8.54,1382.62,26379.45,70.49,34.92,88.21,123.51,1091.93,569.88,2952.70,1561.59,17746.11,9416.35,1419.87,5.03,1.00
Guangzhou,China,4.13,28.47,4.98,0.85,1.71,3.54,0.44,0.33,1.91,1.63,1.03,1.71,9.00,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.00,0.49,0.51,11.39,0.95,2.26,3.70,0.36,28.47,1.71,0.37,6.26,1.19,21353.23,21381.70,59.65,0.02,16.66,34.17,18.98,8.54,555.18,24556.21,63.43,33.83,66.73,43.89,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,5.19,1.00
Mumbai,India,3.68,18.42,3.68,2.46,4.30,2.48,0.48,0.19,0.75,0.50,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,4.30,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,0.01,9.33,25.37,11.39,4.30,107.07,3682.67,32.77,27.75,49.87,41.17,522.40,294.05,1411.12,699.80,6092.45,2777.51,640.81,7.96,1.00
Delhi,India,4.91,22.11,4.30,1.84,3.68,1.77,0.49,0.19,0.73,0.50,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.70,0.36,9.83,1.54,2.49,4.30,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,0.01,7.95,21.20,8.60,4.91,74.00,1964.24,32.12,33.44,49.99,36.50,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06,1.00
Dhaka,Bangladesh,1.95,11.71,4.88,5.85,5.12,1.95,0.29,0.16,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,5.36,2.40,6.30,3.12,0.41,18.53,0.98,0.39,2.93,1.10,39017.69,29006.57,37.06,0.01,21.90,17.24,14.17,4.88,65.97,1525.07,21.51,24.91,50.87,41.53,142.09,87.79,347.57,208.50,1119.98,571.72,280.73,9.26,1.00
Osaka,Japan,7.45,48.39,5.36,3.35,3.72,3.28,1.09,0.81,1.41,1.47,4.92,1.90,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,7.45,2.54,2.48,4.28,1.80,88.81,4.95,2.98,29.53,1.24,22707.81,15765.18,128.77,0.21,32.15,65.20,33.43,13.84,482.80,10739.89,45.81,26.61,66.79,132.61,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1.49,1.00
Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.30,1.20,0.83,1.71,6.90,3.52,8.49,2.99,1.60,2.13,1.30,1.42,2.05,1.13,0.44,22.69,2.17,3.24,2.27,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,0.13,31.57,30.89,11.78,3.24,138.64,9667.30,39.51,25.16,72.38,79.85,505.59,277.43,1172.14,615.04,2632.80,1241.09,509.12,9.05,1.00
Shenzhen,China,4.27,28.47,4.98,1.14,3.99,4.20,0.47,0.34,2.23,2.40,1.00,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.90,0.55,14.16,0.88,1.49,3.56,0.57,35.59,1.42,0.37,6.83,1.19,21936.88,20317.59,67.63,0.04,18.21,51.65,14.39,7.12,660.93,23344.61,66.16,33.90,81.84,106.77,738.75,435.07,1682.30,886.16,17898.73,8091.57,1572.22,4.99,1.00
Kinshasa,Congo,15.11,42.63,10.08,1.74,2.50,4.35,2.78,0.84,2.00,1.33,5.17,4.15,9.50,5.00,20.00,10.00,3.25,5.25,6.33,3.60,2.83,1.67,2.00,10.00,1.32,3.50,5.00,0.50,30.00,1.00,1.53,5.00,1.22,44341.60,24000.00,553.99,0.32,300.00,97.50,20.00,10.00,1200.00,14300.00,35.00,35.00,127.50,93.33,2000.00,725.00,4500.00,1160.00,6170.63,933.33,400.00,19.33,0.00
